,Pickup_Point,Status,Request_Timestamp,Drop_Timestamp,Date
0,Airport,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,2016-11-07
1,Airport,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,2016-11-07
2,City,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,2016-12-07
3,Airport,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,2016-12-07
4,City,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,2016-07-13
5,Airport,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,2016-07-13
6,Airport,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,2016-07-14
7,Airport,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,2016-07-15
8,City,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,2016-07-15
9,City,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,2016-11-07
10,Airport,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,2016-12-07
11,City,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,2016-12-07
12,Airport,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,2016-07-13
13,City,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,2016-07-13
14,City,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,2016-07-13
15,Airport,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,2016-07-13
16,City,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,2016-07-14
17,Airport,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,2016-07-14
18,Airport,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,2016-11-07
19,Airport,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,2016-11-07
20,Airport,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,2016-12-07
21,Airport,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,2016-12-07
22,Airport,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,2016-12-07
23,Airport,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,2016-07-13
24,Airport,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,2016-07-13
25,City,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,2016-07-14
26,City,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2016-07-15
